station_name,station_type,latitude,longitude,source
Tiergarten,s_bahn,52.51442950,13.33647800,VBB GTFS
Tierpark,u_bahn,52.49773400,13.52295950,VBB GTFS
Treptower Park,s_bahn,52.49368825,13.46167475,VBB GTFS
Turmstr.,u_bahn,52.52613200,13.34129200,VBB GTFS
Uhlandstr.,u_bahn,52.50285800,13.32698100,VBB GTFS
Ullsteinstr.,u_bahn,52.45374900,13.38447150,VBB GTFS
Unter den Linden,u_bahn,52.51682175,13.38896300,VBB GTFS
Viktoria-Luise-Platz,u_bahn,52.49624800,13.34342050,VBB GTFS
Vinetastr.,u_bahn,52.55918350,13.41325100,VBB GTFS
Voltastr.,u_bahn,52.54212550,13.39302300,VBB GTFS
Waidmannslust,s_bahn,52.60628850,13.32115450,VBB GTFS
Walther-Schreiber-Platz,u_bahn,52.46610150,13.32826150,VBB GTFS
Wannsee Bhf,s_bahn,52.42157400,13.18013525,VBB GTFS
Warschauer Str.,s_bahn,52.50626475,13.45074075,VBB GTFS
Warschauer Str.,u_bahn,52.50487400,13.44896250,VBB GTFS
Wartenberg,s_bahn,52.57304950,13.50373300,VBB GTFS
Waßmannsdorf,s_bahn,52.36859550,13.46361900,VBB GTFS
Weberwiese,u_bahn,52.51674600,13.44467000,VBB GTFS
Wedding,s_bahn,52.54307200,13.36764850,VBB GTFS
Wedding,u_bahn,52.54306000,13.36503850,VBB GTFS
Weinmeisterstr.,u_bahn,52.52546800,13.40502900,VBB GTFS
Westend,s_bahn,52.51789700,13.28446650,VBB GTFS
Westhafen,s_bahn,52.53626800,13.34431350,VBB GTFS
Westhafen,u_bahn,52.53675500,13.34257100,VBB GTFS
Westkreuz,s_bahn,52.50091233,13.28429800,VBB GTFS
Westphalweg,u_bahn,52.44627150,13.38568800,VBB GTFS
Wildau,s_bahn,52.31931800,13.63378950,VBB GTFS
Wilhelmshagen,s_bahn,52.43856250,13.72224250,VBB GTFS
Wilhelmsruh,s_bahn,52.58168950,13.36224600,VBB GTFS
